headline,category,short_description,links
emmy award viewership dip record low audience continue drop,entertainment,television award ceremony lose roughly 1.5 million viewer compare 2021 program,https://www.huffpost.com/entry/2022-emmys-ratings-record-low_n_63215868e4b000d988560a39
possible nationwide rail strike impact traveler business,u.s news,white house press secretary karine jean pierre say rail shutdown acceptable harm family business,https://www.huffpost.com/entry/possible-nationwide-rail-strike-amtrak_n_6321547be4b0ed021df76e32
democrats nominate seth magaziner key rhode island house race,politic,state general treasurer slate face cranston mayor allan fung r general election,https://www.huffpost.com/entry/seth-magaziner-wins-rhode-island-democratic-primary-us-house_n_632118d0e4b082746be47a33
tiktok search result riddle misinformation report,tech,u.s firm monitor false online claim report search information prominent news topic tiktok likely turn result riddle misinformation,https://www.huffpost.com/entry/bc-us-tiktok-misinformation_n_6321c9b0e4b027aa40614814
u.s inflation fall 2nd straight month low gas cost,u.s news,monthly basis price rise 0.1 flat reading july,https://www.huffpost.com/entry/us-inflation-number-august-2022_n_63207b45e4b0eac9f4db49b6
jean luc godard pioneer french filmmaker die,entertainment,director well know groundbreaking movie breathless,https://www.huffpost.com/entry/jean-luc-godard-dies_n_5894d457e4b0c1284f25dc10
thousand minnesota nurse launch 3 day strike pay,u.s news,press salary increase help improve patient care resolve understaffing stress worsen pandemic,https://www.huffpost.com/entry/nurses-strike-minnesota_n_6320cb93e4b082746be43386
joe biden urge national unity speech renew cancer moonshot,politic,cancer discriminate red blue president say monday beat cancer,https://www.huffpost.com/entry/biden-cancer-moonshot_n_631fc93be4b027aa405e7ac5
sen tim scott downplay electability concern struggle senate gop candidate,politic,field go to play scott tell fox news sunday,https://www.huffpost.com/entry/tim-scott-senate-republicans-november-election_n_631ef3a4e4b027aa405d4f5e
boston marathon race inclusive nonbinary runner,sport,race organizer nonbinary athlete will register man woman division provide qualifying time guide training,https://www.huffpost.com/entry/boston-marathon-nonbinary-runners_n_631fade4e4b046aa0237a055
anthony varvaro mlb pitcher turn transit cop die crash way 9/11 ceremony,sport,varvaro pitch atlanta brave start law enforcement career 2016,https://www.huffpost.com/entry/anthony-varvaro-dead_n_631f6827e4b027aa405e1899
electability ballot key rhode island house primary,politic,democrats state moderate house district decide popular republican mayor,https://www.huffpost.com/entry/democratic-primary-rhode-island-retiring_n_631d6772e4b0eac9f4d81d5a
nod jfk joe biden push moonshot fight cancer,politic,biden plan draw attention new federally back study seek validate blood test screen multiple cancer,https://www.huffpost.com/entry/biden-moonshot-cancer-speech_n_631f337ee4b082746be1d2bf
ani liu brilliantly disguise art science,culture art,research base artist find dynamic way confront conversation female empowerment motherhood labor artwork,https://www.huffpost.com/entry/ani-liu-art-science_n_631254cbe4b0aefceecba636
sidney tackle comfortable conversation black cinema icon,culture art,sensationalize tarnish reputation sidney poitier new documentary honor humanity facet,https://www.huffpost.com/entry/sidney-review-tiff-sidney-poitier_n_631b75f9e4b082746bdf840c
carlos alcaraz win u.s open 1st slam title rank,sport,carlos alcaraz defeat casper ruud u.s open final earn grand slam age 19 young man 1 ranking,https://www.huffpost.com/entry/carlos-alcaraz-us-open-grand-slam-win_n_631e7452e4b027aa405cf51b
weather helping threat western fire persist,u.s news,firefighter progress huge northern california wildfire grow threaten thousand mountain home,https://www.huffpost.com/entry/western-wildfires-northern-california_n_631e6562e4b046aa02362f83
biden honor 9/11 victim vow commitment thwart terror,politic,president joe biden mark 21st anniversary sept 11 attack take somber wreath lay ceremony hold pentagon steady rain,https://www.huffpost.com/entry/sept-11-anniversary-biden_n_631e6071e4b027aa405cf306
9/11 attack reverberate u.s mark 21st anniversary,u.s news,september 11th remain point reflection 2001 attack   reconfigure national security policy   spur u.s war terror worldwide,https://www.huffpost.com/entry/21-anniversary-911-terror-attacks_n_631df241e4b046aa0236037f
reactor ukraine zaporizhzhia nuclear plant stop,world news,plant 10 big atomic power station world occupy russian force early war mark 200th day sunday,https://www.huffpost.com/entry/russia-ukraine-war-nuclear-plant-reactor-stopped_n_631dc78de4b082746be0b33c
payment processor visa start categorize sale gun store,u.s news,visa adoption significant large payment network likely add pressure mastercard american express adopt code,https://www.huffpost.com/entry/payment-processor-visa-to-start-categorizing-sales-at-gun-stores_n_631d11e2e4b0eac9f4d80c91
trump team propose name arbiter mar lago probe,politic,justice department propose retire judge role trump team propose retired judge lawyer,https://www.huffpost.com/entry/doj-trump-team-propose-candidates-for-special-master-in-mar-a-lago-probe_n_631bed8be4b0ed021df2bd38
james cameron present new scene avatar way water d23 expo,entertainment,director tell audience super excited finally finish movie additional installment work,https://www.huffpost.com/entry/james-cameron-avatar-sequel-footage_n_631d0697e4b046aa02358cbf
russia say pull force ukraine kharkiv region,world news,russia defense ministry announce troop pull area ukrainian counter offensive significant advance,https://www.huffpost.com/entry/bc-eu-russia-ukraine-war_n_631caa67e4b0ed021df310a8
severe wind batter southern california heat wave break,environment,10 day heat wave nearly overwhelm electrical grid southern california get cool weather ferocious tropical storm,https://www.huffpost.com/entry/bc-us-california-wildfires_n_631c9b62e4b000d988519ee3
ukraine claw territory nuclear plant peril,world news,ukrainian force claim new success counteroffensive russian force east,https://www.huffpost.com/entry/ukraine-forces-success-counteroffensive-russia_n_631c89cce4b082746be0286c
watch harry style pay tribute queen elizabeth ii nyc concert,entertainment,join round applause 70 year service pop star tell crowd pause madison square garden performance,https://www.huffpost.com/entry/harry-styles-queen-elizabeth-ii-concert-tribute_n_631b4d22e4b027aa405b2ad7
ex employee testify doubt r. kelly abuse denial,entertainment,derrell mcdavid testimony major blow r&b singer hope acquittal,https://www.huffpost.com/entry/r-kelly-derrel-mcdavid-trial_n_631ac084e4b0eac9f4d5ac29
heart break historic page mark queen death,world news,british international newspaper honor passing u.k'.s long reign monarch,https://www.huffpost.com/entry/newspaper-front-pages-mark-the-queens-death_n_631b09e1e4b0eac9f4d64686
jojo siwa receive prestigious glsen honor lgbtq advocacy work,entertainment,19 year old singer dancer youtube icon receive 2022 gamechanger award focus anti bullying effort,https://www.huffpost.com/entry/jojo-siwa-glsen-gamechanger-award_n_631bae79e4b082746bdfc964
un chief ask world massive help flood hit pakistan,world news,speak islamabad antonio guterre say country bear responsibility climate change face challenge,https://www.huffpost.com/entry/antonio-guterres-pakistan-floods_n_631b47c7e4b027aa405b2142
politician dna connect las vegas journalist murder police,politic,clark county public administrator robert telle arrest fatal stabbing jeff german investigate office,https://www.huffpost.com/entry/clark-county-official-robert-telles-dna-las-vegas-journalist-murder_n_631a51dbe4b000d9884f1cf4
michelle obama celebrate wear braid white house portrait unveiling,entertainment,internet ignite approval lady hairstyle choice monumental day,https://www.huffpost.com/entry/michelle-obama-braids-white-house-portrait_n_631a167fe4b0eac9f4d4c000
norman reedus open walk dead injury think go die,entertainment,actor say badly concuss shoot series finale fear life hold wall recover,https://www.huffpost.com/entry/norman-reedus-walking-dead-injury_n_6319bc8ce4b046aa02317165
michigan supreme court revive abortion right amendment november ballot,politic,opponent measure claim typo qualifying petition incomprehensible state high court reject argument,https://www.huffpost.com/entry/michigan-abortion-amendment-supreme-court-november-ballot_n_63191369e4b046aa0230bd0e
portland resident disability sue city block sidewalk,politic,lawsuit say allow homeless people tent block city sidewalk make difficult people wheelchair walker cane use,https://www.huffpost.com/entry/portland-disabled-lawsuit-blocked-sidewalks_n_631a741fe4b046aa0232f7c6
32 dead fire karaoke parlor south vietnam,world news,fire thuan city begin late tuesday trap worker customer inside multi story venue,https://www.huffpost.com/entry/ap-as-vietnam-karaoke-fire_n_6319c41be4b0ed021def2c70
baseball player union join afl cio solidarity worker,sport,mlb player association finally member afl cio affiliate 57 union industry,https://www.huffpost.com/entry/baseball-players-union-joins-afl-cio_n_6318a30ee4b000d9884c1aca
muslim 1 character tv study find,entertainment,200 scripted show researcher analyze muslim character typically violent dehumanize disparage exist,https://www.huffpost.com/entry/muslims-tv-characters-representation_n_63177ddee4b0536be0493fac
unemployment insurance system ready recession,politic,state cut congress unlikely step pandemic expose unemployment system shortcoming,https://www.huffpost.com/entry/unemployment-benefits-recession_n_6317aa40e4b0faa556c1c634
power outage austin airport lead flight delay traffic jam,u.s news,airport official austin texas early morning power outage cause flight delay electricity restore,https://www.huffpost.com/entry/ap-us-austin-airport-power-outage_n_6318c91fe4b046aa02302b96
shell go near ukraine nuclear plant despite risk,world news,head international atomic energy agency warn u.n security council   catastrophic place zaporizhzhia,https://www.huffpost.com/entry/shelling-goes-on-near-ukraine-nuclear-plant-despite-risks_n_6318769ce4b027aa405646dd
cyberattack prompt los angeles school district shut computer system,education,attack grow threat u.s school high profile incident report year,https://www.huffpost.com/entry/ap-us-los-angeles-schools-cyberattack_n_63184088e4b046aa022f1bd4
fast move fairview fire kill 2 california,u.s news,second fire kill people northern california weekend,https://www.huffpost.com/entry/fairview-fire-california_n_6316e991e4b0536be048168d
"kody clemen strike mvp shohei ohtani trail dad roger 4,671 ks",sport,detroit tiger rookie utility player get press relief pitch duty 10 0 loss angel,https://www.huffpost.com/entry/kody-clemens-strikes-out-shohei-otani_n_63177ba5e4b0faa556c18078
mississippi governor say water pressure solid jackson,u.s news,city remain boil water notice go effect july 30,https://www.huffpost.com/entry/jackson-water-pressure-back-to-normal_n_631708e6e4b0ed021deaf884
meta parent company instagram fine $ 400 million irish regulator,u.s news,social medium giant fine violation datum privacy law relate information child instagram,https://www.huffpost.com/entry/meta-400-million-irish-fine_n_6316c7d0e4b046aa022d0682
school start today survivor deadly mass shooting uvalde,u.s news,new high fencing texas community public school finish heavy police patrol family trust,https://www.huffpost.com/entry/uvalde-texas-shooting-back-to-school_n_6316f276e4b0faa556c0635d
u.s russia buy rocket artillery shell north korea,world news,finding come biden administration confirm russian military august take delivery iranian manufacture drone use ukraine,https://www.huffpost.com/entry/us-russia-to-buy-rockets-artillery-shells-from-north-korea_n_6316ba7fe4b0ed021deaa7c1
harry style feel like idea act,entertainment,singer say parallel music acting,https://www.huffpost.com/entry/harry-styles-no-idea-what-im-doing-acting_n_63162147e4b046aa022ca283
michigan secretary state worry violence disruption go midterm,politic,jocelyn benson say misinformation fuel potential additional threat harassment violence election day,https://www.huffpost.com/entry/michigan-jocelyn-benson-election-midterms_n_63158ff2e4b0682ad3d22355
cite imminent danger cloudflare drop hate site kiwi farm,tech,cloudflare ceo matthew prince previously resist call block site,https://www.huffpost.com/entry/cloudflare-kiwi-farms_n_6315993ae4b0eac9f4ce0ba1
bear spot chill california swimming pool,u.s news,welcome yard long kill family homeowner quip,https://www.huffpost.com/entry/bear-swimming-pool-california_n_63156d04e4b046aa022b6a4c
uvalde fourth grader wait hour wounded teacher,politic,elsa avila look scar run torso help remember 24 gunman storm fourth grade wing robb elementary uvalde texas kill 19 child teacher leave wound,https://www.huffpost.com/entry/bc-us-texas-school-shooting-teachers_n_631644f7e4b0ed021dea6f3b
trump endorse wisconsin gubernatorial candidate tell voter pitchfork,politic,tim michel call supporter medium follow milwaukee journal sentinel story report multimillionaire donation anti abortion group,https://www.huffpost.com/entry/wisconsin-trump-tim-michels-pitchforks-anti-abortion-anti-gay_n_63142462e4b0682ad3d1a6c3
memphis police arrest jogger disappearance,crime,police tennessee arrest disappearance woman abduct jog,https://www.huffpost.com/entry/ap-us-jogger-abducted_n_6314aa89e4b0682ad3d1d6ed
fema director say early tell jackson clean water,u.s news,resident mississippi majority black capital clean water rain worsen exist infrastructure,https://www.huffpost.com/entry/fema-director-jackson-mississippi-water-crisis_n_6314d8bde4b0ed021de8e831
pakistan large natural lake rise dangerous level monsoon,world news,"authority warn flooding expect lake manchar swell unprecedented monsoon rain kill nearly 1,300 people",https://www.huffpost.com/entry/pakistan-floods-lake-swelling_n_6314c328e4b046aa022b3d8c
uvalde child grapple trauma school massacre,u.s news,student survive 24 shoot robb elementary texas spend summer host mental health issue include ptsd,https://www.huffpost.com/entry/texas-uvalde-school-shooting-trauma-recovery_n_63150074e4b0ed021de8ede6
emergency declare flash flooding hit northwest georgia,u.s news,thunderstorm heavy rain pound part northwest georgia sunday spark flash flooding dangerously high water area,https://www.huffpost.com/entry/georgia-flash-flooding_n_63151514e4b0eac9f4cdc7d3
osbourne return british revival bbc laughter love tear,entertainment,millennial remember family mtv reality series early 2000s bbc series film 350 acre osbourne estate england,https://www.huffpost.com/entry/the-osbournes-revival-series-announcement_n_6313714ee4b046aa022acc2e
plane circle mississippi threaten crash land,u.s news,pilot arrest circle small airplane tupelo mississippi threaten crash walmart store,https://www.huffpost.com/entry/tupelo-mississippi-airplane-walmart_n_6313572be4b0536be045b912
fuel leak ruin nasa 2nd shot launch new moon rocket,science,space agency artemis program rocket powerful date,https://www.huffpost.com/entry/fuel-leak-ruins-nasa-launch-moon-artemis_n_63137247e4b0eac9f4cd4aa2
9 migrant find dead rio grande border patrol,u.s news,tragic toll follow hazardous crossing desperate dozen say official,https://www.huffpost.com/entry/8-migrants-dead-rio-grande-border-patrol_n_6312d71ce4b0536be0458388
owner new england frozen yogurt shop accuse hide camera store bathroom,u.s news,nashua police charge chanphanou sab pou misdemeanor count violation privacy face year jail charge,https://www.huffpost.com/entry/new-england-frozen-yogurt-owner-charged_n_6311972ae4b020c4ffab96b2
white house counsel pat cipollone testify grand jury report,politic,cipollone deputy patrick philbin reportedly schedule provide testimony grand jury friday,https://www.huffpost.com/entry/pat-cipollone-jan-6-grand-jury_n_6311c619e4b07d96a24d2ae8
tropical storm danielle strengthen hurricane current threat land,u.s news,storm hurricane unusually quiet storm season center 885 mile west azore,https://www.huffpost.com/entry/hurricane-danielle-tropical-storm_n_631236a4e4b020c4ffacca40
putin plan snub gorbachev funeral,world news,low key funeral reflect kremlin uneasiness legacy gorbachev despise home collapse soviet union,https://www.huffpost.com/entry/putin-snubs-gorbachev-funeral_n_6312499ce4b09e34c39504ef
nasa aim saturday launch new moon rocket fix fuel leak,u.s news,inaugural flight 322 foot artemis rocket powerful build nasa delay late countdown monday,https://www.huffpost.com/entry/nasa-artemis-rocket-launch_n_631265e3e4b0fc6bd23b7e7e
"u.s hiring slow august employer add 315,000 job",u.s news,unemployment rate rise 3.7 half century low 3.5 july americans come sideline look job,https://www.huffpost.com/entry/us-economy-jobs-report-august_n_6311fc30e4b0aefceecb070e
pregnant woman claim unborn baby hov lane passenger receive ticket,u.s news,brandy bottone refer roe v. wade texas penal code identify unborn child individual stop lane,https://www.huffpost.com/entry/pregnant-brandy-bottone-texas-hov-lane-citation_n_6310b3f7e4b088f7423b32d0
freeze dry breast milk,parenting,freezer overflow tired carry ice pack bottle pumped milk option,https://www.huffpost.com/entry/freeze-drying-breast-milk_l_630e3263e4b065bfc4b25a89
miss louisiana nun find alive safe month armed home raid,u.s news,nun hold kidnapper nearly month follow armed raid burkina faso home,https://www.huffpost.com/entry/missing-louisiana-nun-found-alive_n_63104d89e4b0dc23bbeeda1f
ku klux klan plaque mount west point science center commission find,u.s news,plaque show hooded man hold weapon,https://www.huffpost.com/entry/kkk-plaque-west-point_n_63101115e4b07744a2fd04c9
toxic algae cause thousand dead fish wash ashore california,environment,unprecedented red tide create foul odor bad oncoming heat wave,https://www.huffpost.com/entry/ap-us-bay-area-dead-fish_n_63113130e4b020c4ffab4841
lisa loeb pave way 90 rare feat independent artist time,culture art,stay miss artist reflect push culture female singer songwriter expect fit certain mold big,https://www.huffpost.com/entry/lisa-loeb-90s-music-profile_n_630d2734e4b088f74236a534
rep jim jordan judiciary twitter account find threat pic doc trump home,politic,36 page filing describe trump representative hand classify material property,https://www.huffpost.com/entry/jim-jordan-judiciary-trump-docs-tweet_n_630f124ee4b0dc23bbed2a07
mikhail gorbachev 1998 pizza hut ad resurface death,politic,soviet union leader reportedly earn nearly $ 1 million refuse eat pizza camera,https://www.huffpost.com/entry/mikhail-gorbachev-pizza-hut-ad_n_630e8d48e4b07744a2fb19f3
republicans ignore trump hoarding classified document,politic,gop continue contort defense donald trump despite new information relate classify document hold florida estate,https://www.huffpost.com/entry/donald-trump-fbi-classified-republicans_n_630f5edfe4b065bfc4b3d2ac
fox friend host question trump keep classify document mar lago,politic,big secret world steve doocy say response ex president keep secret document private residence,https://www.huffpost.com/entry/fox-news-steve-doocy-trump-classified-documents_n_630f8a35e4b07744a2fc6e7d
3 r. kelly accusers testify abuse chicago trial,u.s news,prosecutor rest case singer stand accuse produce child sexual abuse video late trial,https://www.huffpost.com/entry/r-kelly-accusers-testify-trial_n_630f4a3ae4b07744a2fbe613
stock dive truth social spac amid merger delay,politic,thing donald trump problem plague truth social,https://www.huffpost.com/entry/stocks-dive-truth-social-spac-merger-digital-world_n_630d93f0e4b0dc23bbeb4140
6 sign grind tooth night,wellness,toothache common red flag deal nighttime tooth grind,https://www.huffpost.com/entry/signs-of-teeth-grinding_l_6307b72ee4b0f7df9bb7e34f
safety nasa reschedule artemis moon mission saturday,science,go play inning artemis mission manager say launch scrub,https://www.huffpost.com/entry/nasa-artemis-moon-mission_n_630d7530e4b063d5e61e0179
secret service official ex trump aide tony ornato retire amid jan 6 probe,politic,ornato point serve white house political adviser say witness trump lunge secret service agent capitol attack,https://www.huffpost.com/entry/anthony-ornato-retires-secret-service-trump-adviser_n_630dff01e4b065bfc4b20e38
